optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_197031_20190924_20200826_02_T1,0.0,2019-09-24 10:30:47.197,S1A_IW_GRDH_1SDV_20190924T055313_20190924T055338_029159_034F8A_0907
LC08_L1TP_197031_20191010_20200825_02_T1,96.32256282794856,2019-10-10 10:30:50.623,S1A_IW_GRDH_1SDV_20191011T060122_20191011T060147_029407_03581E_B971
LC08_L1TP_198031_20191017_20200825_02_T1,0.0,2019-10-17 10:37:02.159,S1A_IW_GRDH_1SDV_20191018T055313_20191018T055338_029509_035B9A_7B2E
LC08_L1TP_197031_20191111_20200825_02_T1,55.61839884623635,2019-11-11 10:30:49.493,S1A_IW_GRDH_1SDV_20191111T055313_20191111T055338_029859_0367D4_5CFB
LC08_L1TP_197031_20191127_20200825_02_T1,33.197459265396304,2019-11-27 10:30:46.941,S1A_IW_GRDH_1SDV_20191128T060122_20191128T060147_030107_037076_7E20
LC08_L1TP_197031_20191229_20200824_02_T1,96.27457117432311,2019-12-29 10:30:41.798,S1A_IW_GRDH_1SDV_20191229T055312_20191229T055337_030559_038001_2F76
LC08_L1TP_198031_20200105_20200823_02_T1,0.0312989045383411,2020-01-05 10:36:50.790,S1A_IW_GRDH_1SDV_20200104T174654_20200104T174719_030654_03835D_5491
LC08_L1TP_197031_20200114_20200823_02_T1,0.0396452790818988,2020-01-14 10:30:38.404,S1A_IW_GRDH_1SDV_20200115T060120_20200115T060145_030807_0388AB_96B0
LC08_L1TP_197031_20200215_20200823_02_T1,0.0,2020-02-15 10:30:29.674,S1A_IW_GRDH_1SDV_20200215T055310_20200215T055335_031259_039864_2B27
LC08_L1TP_198031_20200222_20200822_02_T1,0.0,2020-02-22 10:36:38.748,S1A_IW_GRDH_1SDV_20200221T174652_20200221T174717_031354_039BC2_8368
LC08_L1TP_197031_20200302_20200822_02_T1,0.0,2020-03-02 10:30:24.913,S1A_IW_GRDH_1SDV_20200303T060119_20200303T060144_031507_03A103_ED34
LC08_L1TP_198031_20200309_20200822_02_T1,46.3708613335788,2020-03-09 10:36:32.864,S1A_IW_GRDH_1SDV_20200310T055310_20200310T055335_031609_03A47D_8362
LC08_L1TP_197031_20200403_20200822_02_T1,83.0255607720401,2020-04-03 10:30:08.087,S1A_IW_GRDH_1SDV_20200403T055311_20200403T055336_031959_03B0CA_A419
LC08_L1TP_198031_20200410_20200822_02_T1,56.77964957500986,2020-04-10 10:36:16.491,S1A_IW_GRDH_1SDV_20200409T174653_20200409T174718_032054_03B438_5F45
LC08_L1TP_197032_20200419_20200822_02_T1,96.32256282794856,2020-04-19 10:30:25.724,S1A_IW_GRDH_1SDV_20200420T060120_20200420T060145_032207_03B994_5310
LC08_L1TP_198031_20200426_20200822_02_T1,7.515542054067328,2020-04-26 10:36:09.116,S1A_IW_GRDH_1SDV_20200427T055311_20200427T055336_032309_03BD1A_14DD
LC08_L1TP_197031_20200521_20200820_02_T1,79.97434717235895,2020-05-21 10:29:54.063,S1A_IW_GRDH_1SDV_20200521T055313_20200521T055338_032659_03C855_8942
LC08_L1TP_198031_20200528_20200820_02_T1,0.0312989045383411,2020-05-28 10:36:05.983,S1A_IW_GRDH_1SDV_20200527T174656_20200527T174721_032754_03CB4D_E297
LC08_L1TP_197031_20200606_20200824_02_T1,2.560004909632084,2020-06-06 10:30:01.149,S1A_IW_GRDH_1SDV_20200607T060122_20200607T060147_032907_03CFCE_8A84
LC08_L1TP_198031_20200613_20200823_02_T1,0.0,2020-06-13 10:36:16.235,S1A_IW_GRDH_1SDV_20200614T055314_20200614T055339_033009_03D2CB_0E67
LC08_L1TP_197031_20200708_20200912_02_T1,0.0,2020-07-08 10:30:17.560,S1A_IW_GRDH_1SDV_20200708T055315_20200708T055340_033359_03DD6F_69EC
LC08_L1TP_198031_20200715_20200912_02_T1,95.974101690755,2020-07-15 10:36:30.876,S1A_IW_GRDH_1SDV_20200714T174658_20200714T174723_033454_03E066_61DA
LC08_L1TP_197031_20200724_20200910_02_T1,0.0,2020-07-24 10:30:22.777,S1A_IW_GRDH_1SDV_20200725T060125_20200725T060150_033607_03E517_39DD
LC08_L1TP_198031_20200731_20200908_02_T1,96.32256282794856,2020-07-31 10:36:35.225,S1A_IW_GRDH_1SDV_20200801T055317_20200801T055342_033709_03E829_B228
LC08_L1TP_197031_20200825_20200905_02_T1,5.014084507042263,2020-08-25 10:30:33.811,S1A_IW_GRDH_1SDV_20200825T055318_20200825T055343_034059_03F437_38E0
LC08_L1TP_198031_20200901_20200906_02_T1,96.32256282794856,2020-09-01 10:36:47.948,S1A_IW_GRDH_1SDV_20200831T174701_20200831T174726_034154_03F79A_BFDA
LC08_L1TP_197031_20200910_20200919_02_T1,0.0,2020-09-10 10:30:40.733,S1A_IW_GRDH_1SDV_20200911T060128_20200911T060153_034307_03FCED_87D2
LC08_L1TP_198031_20200917_20201005_02_T1,96.32256282794856,2020-09-17 10:36:53.930,S1A_IW_GRDH_1SDV_20200918T055319_20200918T055344_034409_04007D_30CB
LC08_L1TP_197031_20201012_20201105_02_T1,0.0,2020-10-12 10:30:47.746,S1A_IW_GRDH_1SDV_20201012T055320_20201012T055345_034759_040CCC_3665
LC08_L1TP_198031_20201019_20201105_02_T1,10.908343306023502,2020-10-19 10:36:58.737,S1A_IW_GRDH_1SDV_20201018T174702_20201018T174727_034854_041037_05A7
LC08_L1TP_197031_20201028_20201106_02_T1,43.87983675473316,2020-10-28 10:30:47.283,S1A_IW_GRDH_1SDV_20201029T060129_20201029T060154_035007_041562_514E
LC08_L1TP_197031_20201129_20210316_02_T1,0.0083463745435576,2020-11-29 10:30:48.455,S1A_IW_GRDH_1SDV_20201129T055319_20201129T055344_035459_04250C_0488
LC08_L1TP_197031_20201215_20210314_02_T1,0.2312436711773911,2020-12-15 10:30:48.462,S1A_IW_GRDH_1SDV_20201216T060127_20201216T060152_035707_042DA1_5F1D
LC08_L1TP_198031_20201222_20210310_02_T1,0.0312989045383411,2020-12-22 10:36:58.075,S1A_IW_GRDH_1SDV_20201223T055318_20201223T055343_035809_043117_341D
LC08_L1TP_197031_20210116_20210306_02_T1,0.0,2021-01-16 10:30:37.516,S1A_IW_GRDH_1SDV_20210116T055317_20210116T055342_036159_043D51_CF0A
LC08_L1TP_198031_20210123_20210305_02_T1,92.11071220350472,2021-01-23 10:36:47.053,S1A_IW_GRDH_1SDV_20210122T174659_20210122T174724_036254_0440B3_AE80
LC08_L1TP_197031_20210201_20210302_02_T1,0.0,2021-02-01 10:30:35.471,S1A_IW_GRDH_1SDV_20210202T060125_20210202T060150_036407_0445F3_1A2A
LC08_L1TP_197031_20210305_20210312_02_T1,96.32256282794856,2021-03-05 10:30:24.672,S1A_IW_GRDH_1SDV_20210305T055316_20210305T055341_036859_0455A3_5982
LC08_L1TP_198031_20210312_20210317_02_T1,96.32256282794856,2021-03-12 10:36:31.390,S1A_IW_GRDH_1SDV_20210311T174658_20210311T174723_036954_045906_D653
LC08_L1TP_197031_20210321_20210401_02_T1,0.0,2021-03-21 10:30:16.574,S1A_IW_GRDH_1SDV_20210322T060125_20210322T060150_037107_045E55_7ABE
LC08_L1TP_198031_20210328_20210402_02_T1,0.0,2021-03-28 10:36:26.050,S1A_IW_GRDH_1SDV_20210329T055316_20210329T055341_037209_0461CF_484B
LC08_L1TP_197031_20210422_20210430_02_T1,96.32256282794856,2021-04-22 10:30:05.595,S1A_IW_GRDH_1SDV_20210422T055317_20210422T055342_037559_046DEA_8D9B
LC08_L1TP_198031_20210429_20210508_02_T1,88.95332780999775,2021-04-29 10:36:12.275,S1A_IW_GRDH_1SDV_20210428T174700_20210428T174725_037654_047144_011D
LC08_L1TP_197031_20210508_20210518_02_T1,0.1877934272300469,2021-05-08 10:29:57.901,S1A_IW_GRDH_1SDV_20210509T060127_20210509T060152_037807_047656_F427
LC08_L1TP_198031_20210515_20210525_02_T1,96.32256282794856,2021-05-15 10:36:13.723,S1A_IW_GRDH_1SDV_20210516T055318_20210516T055343_037909_047956_914E
LC08_L1TP_197031_20210609_20210615_02_T1,9.347816747982447,2021-06-09 10:30:15.861,S1A_IW_GRDH_1SDV_20210609T055320_20210609T055345_038259_0483CC_3E06
LC08_L1TP_198031_20210616_20210622_02_T1,0.0,2021-06-16 10:36:29.049,S1A_IW_GRDH_1SDV_20210615T174703_20210615T174728_038354_0486B8_810F
LC08_L1TP_197031_20210625_20210707_02_T1,0.9606922581239066,2021-06-25 10:30:20.485,S1A_IW_GRDH_1SDV_20210626T060129_20210626T060154_038507_048B4C_ED29
LC08_L1TP_198031_20210702_20210708_02_T1,0.0,2021-07-02 10:36:32.403,S1A_IW_GRDH_1SDV_20210703T055321_20210703T055346_038609_048E45_BB50
LC08_L1TP_197031_20210727_20210804_02_T1,0.0,2021-07-27 10:30:28.859,S1A_IW_GRDH_1SDV_20210727T055322_20210727T055347_038959_0498CB_FEF0
LC08_L1TP_198031_20210803_20210811_02_T1,96.32256282794856,2021-08-03 10:36:42.900,S1A_IW_GRDH_1SDV_20210802T174705_20210802T174730_039054_049BA6_02B0
LC08_L1TP_197031_20210812_20210819_02_T1,0.0,2021-08-12 10:30:35.532,S1A_IW_GRDH_1SDV_20210813T060132_20210813T060157_039207_04A0DA_929D
LC08_L1TP_198031_20210819_20210827_02_T1,96.32256282794856,2021-08-19 10:36:48.450,S1A_IW_GRDH_1SDV_20210820T055324_20210820T055349_039309_04A459_8A72
LC08_L1TP_197031_20210913_20210924_02_T1,91.62576329436348,2021-09-13 10:30:44.449,S1A_IW_GRDH_1SDV_20210913T055325_20210913T055350_039659_04B066_5706
LC08_L1TP_198031_20210920_20210925_02_T1,83.53370769278021,2021-09-20 10:36:56.212,S1A_IW_GRDH_1SDV_20210919T174708_20210919T174733_039754_04B39C_146B
LC08_L1TP_197031_20210929_20211012_02_T1,96.32256282794856,2021-09-29 10:30:48.507,S1A_IW_GRDH_1SDV_20210930T060134_20210930T060159_039907_04B8DA_B853
LC08_L1TP_198031_20211006_20211013_02_T1,96.32256282794856,2021-10-06 10:37:01.876,S1A_IW_GRDH_1SDV_20211007T055326_20211007T055351_040009_04BC5A_FD98
LC08_L1TP_197031_20211031_20211109_02_T1,72.66169566418144,2021-10-31 10:30:53.376,S1A_IW_GRDH_1SDV_20211031T055326_20211031T055351_040359_04C88A_C6CF
LC08_L1TP_198031_20211107_20211117_02_T1,0.0,2021-11-07 10:37:02.578,S1A_IW_GRDH_1SDV_20211106T174708_20211106T174733_040454_04CBE8_38CB
LC08_L1TP_197031_20211218_20211223_02_T1,0.0938967136150234,2021-12-17 10:36:54.885,S1A_IW_GRDH_1SDV_20211218T055324_20211218T055349_041059_04E0B5_4D70
LC08_L1TP_198031_20211225_20211230_02_T1,96.32256282794856,2021-12-25 10:36:56.024,S1A_IW_GRDH_1SDV_20211224T174706_20211224T174731_041154_04E3D7_F8C8
LC08_L1TP_198031_20220110_20220114_02_T1,96.32256282794856,2022-01-10 10:36:52.723,S1A_IW_GRDH_1SDV_20220111T055323_20220111T055348_041409_04EC72_2BAD
LC08_L1TP_197031_20220119_20220127_02_T1,77.46429776918633,2022-01-18 10:36:53.732,S1A_IW_GRDH_1SDV_20220117T174705_20220117T174730_041504_04EF85_60C9
LC08_L1TP_197031_20220204_20220212_02_T1,96.32256282794856,2022-02-03 10:36:54.619,S1A_IW_GRDH_1SDV_20220204T055322_20220204T055347_041759_04F828_A7BE
LC08_L1TP_198031_20220211_20220222_02_T1,0.0,2022-02-11 10:36:44.689,S1A_IW_GRDH_1SDV_20220210T174704_20220210T174729_041854_04FB8F_D7BE
LC08_L1TP_197031_20220220_20220301_02_T1,0.0,2022-02-20 10:30:29.447,S1A_IW_GRDH_1SDV_20220221T060130_20220221T060155_042007_0500E3_5DA2
LC08_L1TP_198031_20220227_20220309_02_T1,96.32256282794856,2022-02-27 10:36:39.989,S1A_IW_GRDH_1SDV_20220228T055321_20220228T055346_042109_050450_2434
LC08_L1TP_197031_20220308_20220315_02_T1,96.32256282794856,2022-03-07 10:36:40.326,S1A_IW_GRDH_1SDV_20220306T174704_20220306T174729_042204_050795_C70A
LC08_L1TP_197031_20220324_20220330_02_T1,96.32256282794856,2022-03-23 10:36:36.965,S1A_IW_GRDH_1SDV_20220324T055322_20220324T055347_042459_051033_6D45
LC08_L1TP_198031_20220331_20220406_02_T1,81.46135198993566,2022-03-31 10:36:22.744,S1A_IW_GRDH_1SDV_20220330T174704_20220330T174729_042554_05137B_9A6B
LC08_L1TP_198031_20220416_20220420_02_T1,0.1564945226917058,2022-04-16 10:36:28.660,S1A_IW_GRDH_1SDV_20220417T055322_20220417T055347_042809_051C02_67FB
LC08_L1TP_197031_20220425_20220503_02_T1,0.0,2022-04-24 10:36:23.916,S1A_IW_GRDH_1SDV_20220423T174705_20220423T174730_042904_051F2A_CA2B
LC08_L1TP_197031_20220511_20220519_02_T1,0.0938967136150234,2022-05-10 10:36:17.907,S1A_IW_GRDH_1SDV_20220511T055324_20220511T055349_043159_052789_C32F
LC08_L1TP_198031_20220518_20220525_02_T1,4.892571112952224,2022-05-18 10:36:35.021,S1A_IW_GRDH_1SDV_20220517T174706_20220517T174731_043254_052A68_47B5
LC08_L1TP_198031_20220603_20220610_02_T1,47.19494307895295,2022-06-03 10:36:40.220,S1A_IW_GRDH_1SDV_20220604T055326_20220604T055351_043509_0531E5_7DE7
LC08_L1TP_197031_20220612_20220617_02_T1,0.0,2022-06-11 10:36:12.401,S1A_IW_GRDH_1SDV_20220610T174708_20220610T174733_043604_0534C1_ADA2
LC08_L1TP_197031_20220628_20220706_02_T1,0.0,2022-06-27 10:36:31.471,S1A_IW_GRDH_1SDV_20220628T055327_20220628T055352_043859_053C5F_A4EE
LC08_L1TP_198031_20220705_20220708_02_T1,2.472613458528952,2022-07-05 10:36:53.195,S1A_IW_GRDH_1SDV_20220704T174710_20220704T174735_043954_053F33_4E69
LC08_L1TP_198031_20220721_20220726_02_T1,0.0,2022-07-21 10:36:56.646,S1A_IW_GRDH_1SDV_20220722T055328_20220722T055353_044209_0546C9_FF85
LC08_L1TP_197031_20220730_20220806_02_T1,35.53702169443679,2022-07-29 10:36:40.444,S1A_IW_GRDH_1SDV_20220728T174711_20220728T174736_044304_05499D_44C6
LC08_L1TP_197031_20220815_20220824_02_T1,0.0312989045383411,2022-08-14 10:36:50.045,S1A_IW_GRDH_1SDV_20220815T055330_20220815T055355_044559_05516B_FCF7
LC08_L1TP_198031_20220822_20220923_02_T1,94.6530424376328,2022-08-22 10:37:10.757,S1A_IW_GRDH_1SDV_20220821T174713_20220821T174738_044654_0554B0_CBE7
LC08_L1TP_198031_20220907_20220914_02_T1,96.32256282794856,2022-09-07 10:37:12.957,S1A_IW_GRDH_1SDV_20220908T055331_20220908T055356_044909_055D33_CD48
LC08_L1TP_197031_20220916_20220922_02_T1,96.32256282794856,2022-09-15 10:36:56.010,S1A_IW_GRDH_1SDV_20220914T174714_20220914T174739_045004_056078_9A48
LC08_L1TP_197031_20221002_20221012_02_T1,0.0,2022-10-01 10:37:00.095,S1A_IW_GRDH_1SDV_20221002T055332_20221002T055357_045259_0568FD_2E30
LC08_L1TP_198031_20221009_20221013_02_T1,96.32256282794856,2022-10-09 10:37:12.014,S1A_IW_GRDH_1SDV_20221008T174714_20221008T174739_045354_056C38_3801
